CompanyName;Participation;Certification.Date;Certification.Due.Date;Type
CPA Global;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;NON-HR
CPP, Inc.;EU-U.S. Privacy Shield Framework;2017-02-03;2018-02-03;HR, NON-HR
CQR Inc;EU-U.S. Privacy Shield Framework;2016-10-05;2017-10-05;HR, NON-HR
CRA Assessments;EU-U.S. Privacy Shield Framework;2017-03-21;2018-03-21;HR
Crane Co.;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;HR
Crashlytics, Inc.;EU-U.S. Privacy Shield Framework;2016-12-21;2017-12-21;NON-HR
Crate.io Inc.;EU-U.S. Privacy Shield Framework;2017-02-14;2018-02-14;NON-HR
Crater Group Co.;EU-U.S. Privacy Shield Framework;2016-12-06;2017-12-06;NON-HR
Creative Services, Inc.;EU-U.S. Privacy Shield Framework;2016-11-22;2017-11-22;HR, NON-HR
Credit Solutions International Co;EU-U.S. Privacy Shield Framework;2017-02-22;2018-02-22;NON-HR
CRF Inc;EU-U.S. Privacy Shield Framework;2017-04-24;2018-04-24;HR, NON-HR
CRITERIA CORP;EU-U.S. Privacy Shield Framework;2016-12-06;2017-12-06;NON-HR
Critical Mix;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;NON-HR
Critical Research, Inc.;EU-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;HR, NON-HR
Critical Research, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;HR, NON-HR
CrossCountry-Consulting;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;NON-HR
CrowdStrike;EU-U.S. Privacy Shield Framework;2016-10-28;2017-10-28;HR, NON-HR
Crowley Webb And Associates, Inc.;EU-U.S. Privacy Shield Framework;2016-10-21;2017-10-21;NON-HR
Crown Worldwide Group;EU-U.S. Privacy Shield Framework;2016-09-20;2017-09-20;HR, NON-HR
CSG International;EU-U.S. Privacy Shield Framework;2017-03-07;2018-03-07;HR, NON-HR
CSG Media LLC;Swiss-U.S. Privacy Shield Framework;2017-05-18;2017-12-30;NON-HR
CSG Media LLC;EU-U.S. Privacy Shield Framework;2016-12-30;2017-12-30;NON-HR
CSIdentity Corporation;EU-U.S. Privacy Shield Framework;2016-10-19;2017-10-19;NON-HR
CSR Professional Services, Inc.;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;NON-HR
CSS Inc.;EU-U.S. Privacy Shield Framework;2017-03-24;2018-03-24;HR, NON-HR
CTSDatabase;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
Culinary Agents, Inc;EU-U.S. Privacy Shield Framework;2017-04-27;2018-04-27;NON-HR
Cultivist Inc.;EU-U.S. Privacy Shield Framework;2016-08-18;2017-08-18;NON-HR
Curo Group Holdings Corp.;EU-U.S. Privacy Shield Framework;2017-01-04;2018-01-04;HR, NON-HR
CustomInsight, LLC;EU-U.S. Privacy Shield Framework;2017-01-05;2018-01-05;HR
Cybercon;EU-U.S. Privacy Shield Framework;2017-02-08;2018-02-08;NON-HR
CyberGrants LLC;EU-U.S. Privacy Shield Framework;2016-11-08;2017-11-08;HR, NON-HR
CYBERSCOUT;EU-U.S. Privacy Shield Framework;2017-01-03;2018-04-12;HR, NON-HR
Cylance Inc.;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;HR, NON-HR
CyrusOne LLC;EU-U.S. Privacy Shield Framework;2017-02-03;2018-02-03;NON-HR
D4 LLC;EU-U.S. Privacy Shield Framework;2017-03-24;2018-03-24;HR, NON-HR
Daniel J. Edelman Holdings, Inc.;EU-U.S. Privacy Shield Framework;2017-03-13;2018-03-13;HR, NON-HR
Dante Labs Inc.;EU-U.S. Privacy Shield Framework;None;2018-04-19;NON-HR
Dante Labs Inc.;EU-U.S. Privacy Shield Framework;None;2018-04-19;NON-HR
Data Intensity, LLC;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;HR, NON-HR
Data Services, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-30;2017-10-12;NON-HR
Data Services, Inc.;EU-U.S. Privacy Shield Framework;2016-10-12;2017-10-12;NON-HR
Data Solutions International, Inc.;EU-U.S. Privacy Shield Framework;2017-04-06;2018-04-06;HR, NON-HR
Data2Logistics, LLC;EU-U.S. Privacy Shield Framework;2016-11-23;2017-11-23;NON-HR
Database Integrations;EU-U.S. Privacy Shield Framework;2016-11-18;2017-11-18;NON-HR
DATABASICS, Inc.;EU-U.S. Privacy Shield Framework;2016-09-26;2017-09-26;HR, NON-HR
Datadog, Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
DataGravity;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;NON-HR
Datalex;EU-U.S. Privacy Shield Framework;2017-03-22;2018-03-22;NON-HR
Datameer Inc;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;HR, NON-HR
Datanyze, Inc.;EU-U.S. Privacy Shield Framework;None;2018-04-19;NON-HR
Datapipe, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;NON-HR
Datapipe, Inc.;EU-U.S. Privacy Shield Framework;2016-12-07;2017-12-07;NON-HR
DataStar, Inc.;EU-U.S. Privacy Shield Framework;2017-03-10;2018-03-10;HR, NON-HR
DATATRAK International Inc.;EU-U.S. Privacy Shield Framework;2017-01-05;2018-01-05;NON-HR
DataXu, Inc.;EU-U.S. Privacy Shield Framework;2017-04-12;2018-04-12;NON-HR
Datorama;EU-U.S. Privacy Shield Framework;2017-01-23;2018-01-23;NON-HR
DCR Workforce Inc.;EU-U.S. Privacy Shield Framework;2017-01-03;2018-01-03;NON-HR
DDB Worldwide Communications Group Inc.;EU-U.S. Privacy Shield Framework;2016-10-25;2017-10-25;HR
DDC;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
DDi;EU-U.S. Privacy Shield Framework;2017-03-03;2018-03-03;NON-HR
DDS;EU-U.S. Privacy Shield Framework;2017-05-18;2018-05-18;NON-HR
Decision Analyst, Inc.;EU-U.S. Privacy Shield Framework;2016-12-07;2017-12-07;NON-HR
DecisionWise, LLC;EU-U.S. Privacy Shield Framework;2017-02-02;2018-02-02;HR, NON-HR
Defined Benefit Services, LLC;EU-U.S. Privacy Shield Framework;2017-03-09;2018-03-09;HR, NON-HR
Deloitte LLP;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;HR, NON-HR
Deloitte Touche Tohmatsu Services, Inc;EU-U.S. Privacy Shield Framework;2016-10-31;2017-10-31;HR, NON-HR
Development Dimensions International;EU-U.S. Privacy Shield Framework;2017-01-18;2018-01-18;HR, NON-HR
Dexcom, Inc.;EU-U.S. Privacy Shield Framework;2017-03-22;2018-03-22;HR, NON-HR
DHI Group, Inc.;EU-U.S. Privacy Shield Framework;2017-03-20;2018-03-20;NON-HR
DHISCO, Inc.;EU-U.S. Privacy Shield Framework;2017-02-15;2018-02-15;HR, NON-HR
DialogTech, Inc.;EU-U.S. Privacy Shield Framework;2016-10-21;2017-10-21;NON-HR
Diamond Resorts Corporation;Swiss-U.S. Privacy Shield Framework;2017-04-12;2018-04-21;NON-HR
Diamond Resorts Corporation;EU-U.S. Privacy Shield Framework;2016-10-19;2018-04-21;NON-HR
DigiCert, Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
DigiPen Institute of Technology;EU-U.S. Privacy Shield Framework;2017-03-09;2018-03-09;HR, NON-HR
Digital Measures, LLC;EU-U.S. Privacy Shield Framework;2016-09-27;2017-09-27;NON-HR
Digital Mountain, Inc.;EU-U.S. Privacy Shield Framework;2016-11-01;2017-11-01;HR, NON-HR
DigitalOcean;EU-U.S. Privacy Shield Framework;2017-02-06;2018-02-06;NON-HR
Digitech Systems, LLC;EU-U.S. Privacy Shield Framework;2016-09-08;2017-09-08;NON-HR
Diligent Corporation;EU-U.S. Privacy Shield Framework;2016-10-20;2017-10-20;NON-HR
Dillistone Systems;EU-U.S. Privacy Shield Framework;2017-01-04;2018-01-04;NON-HR
Dimension Data CLM (Xigo LLC);EU-U.S. Privacy Shield Framework;2017-03-08;2018-03-08;NON-HR
Direct Services Miami, Inc.;EU-U.S. Privacy Shield Framework;2017-02-16;2018-02-16;NON-HR
Directions Research, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-26;2017-09-06;NON-HR
Directions Research, Inc.;EU-U.S. Privacy Shield Framework;2016-09-06;2017-09-06;NON-HR
DISA Global Solutions Inc;EU-U.S. Privacy Shield Framework;2016-11-02;2017-11-02;NON-HR
DiscoverReady LLC;Swiss-U.S. Privacy Shield Framework;2017-05-18;2017-12-13;HR, NON-HR
DiscoverReady LLC;EU-U.S. Privacy Shield Framework;2016-12-13;2017-12-13;HR, NON-HR
Discuss.io;Swiss-U.S. Privacy Shield Framework;2017-05-23;2017-12-05;NON-HR
Discuss.io;EU-U.S. Privacy Shield Framework;2016-12-05;2017-12-05;NON-HR
Disruptor Beam;EU-U.S. Privacy Shield Framework;2016-11-23;2017-11-23;NON-HR
DiveShop360;EU-U.S. Privacy Shield Framework;2016-12-13;2017-12-13;NON-HR
Dixon Hughes Goodman LLP;EU-U.S. Privacy Shield Framework;2017-03-24;2018-03-24;NON-HR
DLVR, Inc.;EU-U.S. Privacy Shield Framework;2017-02-13;2018-02-13;NON-HR
DNAnexus, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;NON-HR
DNAnexus, Inc.;EU-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;NON-HR
Docebo NA, Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
doeLEGAL, Inc.;EU-U.S. Privacy Shield Framework;2016-08-17;2017-08-17;NON-HR
doeLEGAL, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-13;2018-04-27;NON-HR
Domino’s Pizza LLC;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;HR, NON-HR
Domo, Inc.;EU-U.S. Privacy Shield Framework;2016-10-14;2017-10-14;NON-HR
dotmailer;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
Dovetail Software;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;HR, NON-HR
Drift.com, Inc.;EU-U.S. Privacy Shield Framework;2017-05-17;2018-05-17;NON-HR
Drift.com, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-17;2018-05-17;NON-HR
Driscoll's, Inc.;EU-U.S. Privacy Shield Framework;2017-05-24;2018-05-24;HR
DriveSavers Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-27;2017-10-14;NON-HR
DriveSavers Inc.;EU-U.S. Privacy Shield Framework;2016-10-14;2017-10-14;NON-HR
Dropbox, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-17;2018-05-24;NON-HR
Dropbox, Inc.;EU-U.S. Privacy Shield Framework;2016-09-23;2018-05-24;NON-HR
DrugDev Inc;EU-U.S. Privacy Shield Framework;2016-09-26;2017-09-26;NON-HR
Druva Inc.;EU-U.S. Privacy Shield Framework;2017-01-25;2018-01-25;HR, NON-HR
dscout, inc.;EU-U.S. Privacy Shield Framework;2016-09-13;2017-09-13;NON-HR
dstillery, Inc.;EU-U.S. Privacy Shield Framework;2016-10-04;2017-10-04;NON-HR
Duda, Inc.;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;NON-HR
Duff & Phelps LLC;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;HR, NON-HR
Dufl, Inc;EU-U.S. Privacy Shield Framework;2016-10-05;2017-10-05;NON-HR
Dun & Bradstreet;EU-U.S. Privacy Shield Framework;2016-09-26;2017-09-26;NON-HR
DVX, LLC;EU-U.S. Privacy Shield Framework;2016-11-04;2017-11-04;NON-HR
Dwellworks, LLC;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;HR, NON-HR
Dynamic Network Services, Inc.;EU-U.S. Privacy Shield Framework;2016-09-01;2017-09-01;NON-HR
Dynamic Yield;EU-U.S. Privacy Shield Framework;2016-09-27;2017-09-27;HR, NON-HR
Dynamo Software, Inc.;EU-U.S. Privacy Shield Framework;2017-02-16;2018-02-16;NON-HR
E-Fraud Security, LLC;EU-U.S. Privacy Shield Framework;2016-08-25;2017-08-25;NON-HR
E2open, LLC;EU-U.S. Privacy Shield Framework;2017-02-08;2018-02-08;HR, NON-HR
Easy Insight LLC;EU-U.S. Privacy Shield Framework;2017-04-28;2018-04-28;NON-HR
EasyMark LLC dba Digital Discovery;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;NON-HR
Eaton Corporation;EU-U.S. Privacy Shield Framework;2016-10-17;2017-10-17;HR, NON-HR
EBI Inc;Swiss-U.S. Privacy Shield Framework;2017-04-21;2017-11-21;NON-HR
EBI Inc;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
EBSCO Industries, Inc.;EU-U.S. Privacy Shield Framework;2017-03-03;2018-03-03;NON-HR
Echo360;EU-U.S. Privacy Shield Framework;2017-01-18;2018-01-18;NON-HR
EchoSpan, Inc.;EU-U.S. Privacy Shield Framework;2016-08-24;2017-08-24;NON-HR
Ecolab Inc.;EU-U.S. Privacy Shield Framework;2017-01-05;2018-01-05;HR, NON-HR
EcoMetrix Solutions Group, LLC;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;NON-HR
eCompanyStore, LLC;EU-U.S. Privacy Shield Framework;2016-09-06;2017-09-06;NON-HR
EcoVadis Inc.;EU-U.S. Privacy Shield Framework;2017-01-19;2018-01-19;HR, NON-HR
Ecwid Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-21;2017-09-06;NON-HR
Ecwid Inc.;EU-U.S. Privacy Shield Framework;2016-09-06;2017-09-06;NON-HR
Edge Hosting, LLC;EU-U.S. Privacy Shield Framework;2017-01-25;2018-01-25;HR, NON-HR
Edgewell Personal Care Company;EU-U.S. Privacy Shield Framework;2016-10-31;2017-10-31;HR
Edmodo;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
EduNeering Holdings, Inc.;EU-U.S. Privacy Shield Framework;2017-01-23;2018-01-23;NON-HR
EduTone Corporation;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;NON-HR
Edwards Lifesciences;EU-U.S. Privacy Shield Framework;2016-12-14;2018-04-12;HR, NON-HR
eePulse, Inc.;EU-U.S. Privacy Shield Framework;2017-02-14;2018-02-14;HR
eGain Corporation;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;HR, NON-HR
Egencia LLC (NV);EU-U.S. Privacy Shield Framework;2017-04-21;2018-04-21;NON-HR
Egenera Inc.;EU-U.S. Privacy Shield Framework;2016-08-25;2017-08-25;NON-HR
Egnyte, Inc.;EU-U.S. Privacy Shield Framework;2017-03-15;2018-03-15;HR, NON-HR
eGym, Inc.;EU-U.S. Privacy Shield Framework;2017-02-07;2018-02-07;HR, NON-HR
EJ2 Communications, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-25;2017-11-17;NON-HR
EJ2 Communications, Inc.;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;NON-HR
Electronic Arts Inc.;EU-U.S. Privacy Shield Framework;2016-10-12;2017-10-12;HR, NON-HR
Electronic Theatre Controls, Inc.;EU-U.S. Privacy Shield Framework;2017-02-07;2018-02-07;HR, NON-HR
Element Six;EU-U.S. Privacy Shield Framework;2017-02-10;2018-02-10;HR, NON-HR
Elementum;EU-U.S. Privacy Shield Framework;2016-11-23;2017-11-23;NON-HR
Elemica, Inc.;EU-U.S. Privacy Shield Framework;2017-03-16;2018-03-16;NON-HR
Eli Lilly and Company;EU-U.S. Privacy Shield Framework;2016-12-28;2017-12-28;HR, NON-HR
Elijah LTD;EU-U.S. Privacy Shield Framework;2017-03-21;2018-03-21;NON-HR
Ellucian Company L.P.;EU-U.S. Privacy Shield Framework;2016-11-14;2017-11-14;NON-HR
eMag Solutions, LLC;EU-U.S. Privacy Shield Framework;2017-04-24;2018-04-24;HR, NON-HR
Emailage Corp.;EU-U.S. Privacy Shield Framework;2016-08-18;2017-08-18;NON-HR
EmailOpen;EU-U.S. Privacy Shield Framework;2017-05-24;2018-05-24;NON-HR
EmailOpen;Swiss-U.S. Privacy Shield Framework;2017-05-24;2018-05-24;NON-HR
Emergenetics International;EU-U.S. Privacy Shield Framework;2017-03-06;2018-03-06;NON-HR
EmeSec;EU-U.S. Privacy Shield Framework;2017-01-27;2018-01-27;HR
EML Payments USA, LLC;EU-U.S. Privacy Shield Framework;2017-02-28;2018-02-28;NON-HR
Emma, Inc;EU-U.S. Privacy Shield Framework;2017-04-11;2018-04-11;NON-HR
EmpiriStat, Inc.;EU-U.S. Privacy Shield Framework;2017-02-13;2018-02-13;HR, NON-HR
Employment Screening Resources;EU-U.S. Privacy Shield Framework;2016-08-12;2017-08-12;HR, NON-HR
Employment Screening Services, Inc.;EU-U.S. Privacy Shield Framework;2016-08-31;2017-08-31;HR
Endeavor DNA, Inc.;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;NON-HR
ENDPOINT CLINICAL INC.;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;HR, NON-HR
EnerNOC, Inc.;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;NON-HR
eNeura Inc.;EU-U.S. Privacy Shield Framework;2017-05-18;2018-05-18;NON-HR
ENFOS, Inc.;EU-U.S. Privacy Shield Framework;2017-04-11;2018-04-11;NON-HR
Engaged MD, LLC;EU-U.S. Privacy Shield Framework;2017-02-28;2018-02-28;NON-HR
Ensono;EU-U.S. Privacy Shield Framework;2016-12-22;2017-12-22;HR, NON-HR
ENTANDO INC.;EU-U.S. Privacy Shield Framework;2017-04-06;2018-04-06;NON-HR
Enterprise Health;EU-U.S. Privacy Shield Framework;2017-05-17;2018-05-17;HR, NON-HR
Enterprise Holdings, Inc.;EU-U.S. Privacy Shield Framework;2016-10-24;2017-10-24;NON-HR
Entertainment Partners;EU-U.S. Privacy Shield Framework;2017-04-05;2018-04-05;NON-HR
Envision Pharma Group;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;HR, NON-HR
ePath Learning, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-21;2017-09-27;HR, NON-HR
ePath Learning, Inc.;EU-U.S. Privacy Shield Framework;2016-09-27;2017-09-27;HR, NON-HR
Epignosis LLC;EU-U.S. Privacy Shield Framework;2017-01-24;2018-01-24;NON-HR
Epiq Systems, Inc.;EU-U.S. Privacy Shield Framework;2017-01-24;2018-01-24;HR, NON-HR
EPM Live, Inc.;EU-U.S. Privacy Shield Framework;2017-02-13;2018-02-13;HR, NON-HR
Epoch.com, LLC;EU-U.S. Privacy Shield Framework;2016-08-23;2017-08-23;NON-HR
Equus Software, LLC.;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;HR, NON-HR
Erebus LLC;EU-U.S. Privacy Shield Framework;2017-02-22;2018-02-22;NON-HR
eReinsure.com, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-08-31;NON-HR
eReinsure.com, Inc.;EU-U.S. Privacy Shield Framework;2016-08-31;2017-08-31;NON-HR
ErgMAPS Inc;EU-U.S. Privacy Shield Framework;2017-05-17;2018-05-17;HR, NON-HR
Ernst & Young LLP;EU-U.S. Privacy Shield Framework;2016-10-20;2017-10-20;HR, NON-HR
ERT;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;HR, NON-HR
ESET, LLC;EU-U.S. Privacy Shield Framework;2017-05-04;2018-05-18;NON-HR
Esker, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-13;2017-11-16;NON-HR
Esker, Inc.;EU-U.S. Privacy Shield Framework;2016-09-27;2017-11-16;NON-HR
Esri;EU-U.S. Privacy Shield Framework;2017-02-07;2018-02-07;NON-HR
Etix, Inc.;EU-U.S. Privacy Shield Framework;2017-05-01;2018-05-01;NON-HR
Etleap;EU-U.S. Privacy Shield Framework;2016-08-31;2017-08-31;NON-HR
Etouches;EU-U.S. Privacy Shield Framework;2017-03-31;2018-03-31;NON-HR
EtQ Management Consultants, Inc.;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;NON-HR
eTrigue Corporation;EU-U.S. Privacy Shield Framework;2016-08-12;2018-05-02;NON-HR
eTrigue Corporation;Swiss-U.S. Privacy Shield Framework;2017-05-02;2018-05-02;NON-HR
Euclid Analytics;EU-U.S. Privacy Shield Framework;2016-10-07;2017-10-07;NON-HR
Eventbrite, Inc.;EU-U.S. Privacy Shield Framework;2016-10-14;2017-10-14;NON-HR
Everbridge, Inc.;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;NON-HR
Everbrite LLC;EU-U.S. Privacy Shield Framework;2017-03-20;2018-03-20;HR, NON-HR
Everest Clinical Research Corporation;EU-U.S. Privacy Shield Framework;2016-11-09;2017-11-09;NON-HR
Evergage;EU-U.S. Privacy Shield Framework;2016-11-07;2017-11-07;NON-HR
eVerge Group, LLC;EU-U.S. Privacy Shield Framework;2017-03-24;2018-03-24;NON-HR
EVERI Holding Inc;EU-U.S. Privacy Shield Framework;2017-04-27;2018-04-27;NON-HR
Everwise Corporation;EU-U.S. Privacy Shield Framework;2016-10-17;2017-10-17;NON-HR
Everyone Counts;EU-U.S. Privacy Shield Framework;2016-12-29;2017-12-29;NON-HR
Evocatus, Inc. d/b/a SnapHop;EU-U.S. Privacy Shield Framework;2016-10-13;2017-10-13;NON-HR
Evolver, Inc.;EU-U.S. Privacy Shield Framework;2016-11-10;2017-11-10;NON-HR
ExamSoft Worldwide, Inc.;EU-U.S. Privacy Shield Framework;2016-08-18;2017-08-18;NON-HR
ExamSoft Worldwide, Inc.;Swiss-U.S. Privacy Shield Framework;2017-04-24;2018-04-24;NON-HR
ExaVault, Inc.;EU-U.S. Privacy Shield Framework;2017-02-16;2018-02-16;NON-HR
Excerpta Medica;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;HR, NON-HR
Exclusive Resorts, LLC;EU-U.S. Privacy Shield Framework;2017-01-06;2018-01-06;NON-HR
Exco InTouch Inc;EU-U.S. Privacy Shield Framework;2016-11-04;2017-11-04;NON-HR
Exiger LLC and Exiger Diligence, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-10;2018-02-13;NON-HR
Exiger LLC and Exiger Diligence, Inc.;EU-U.S. Privacy Shield Framework;2017-02-13;2018-02-13;HR, NON-HR
EXP Systems LLC;EU-U.S. Privacy Shield Framework;2017-02-09;2018-02-09;NON-HR
Expected Behavior;EU-U.S. Privacy Shield Framework;2016-09-08;2017-09-08;NON-HR
Expedient;EU-U.S. Privacy Shield Framework;2016-12-06;2017-12-06;NON-HR
Expensify, Inc.;EU-U.S. Privacy Shield Framework;2016-11-29;2017-11-29;NON-HR
Experticity, Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
Experts Exchange, LLC;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-09-29;NON-HR
Experts Exchange, LLC;EU-U.S. Privacy Shield Framework;2016-09-29;2017-09-29;NON-HR
Expertus Inc;EU-U.S. Privacy Shield Framework;2016-10-24;2017-10-24;NON-HR
Explain Everything, Inc.;EU-U.S. Privacy Shield Framework;2016-11-30;2017-11-30;NON-HR
Exponential;EU-U.S. Privacy Shield Framework;2017-03-07;2018-03-07;NON-HR
Extole, Inc.;EU-U.S. Privacy Shield Framework;2016-11-16;2017-11-16;NON-HR
Eze Castle Integration, Inc.;EU-U.S. Privacy Shield Framework;2016-12-20;2017-12-20;HR, NON-HR
EZFacility;EU-U.S. Privacy Shield Framework;2016-12-09;2017-12-09;NON-HR
Facebook, Inc.;EU-U.S. Privacy Shield Framework;2016-09-30;2017-09-30;NON-HR
Factual, Inc.;EU-U.S. Privacy Shield Framework;2016-11-15;2017-11-15;NON-HR
Fair Isaac Corporation, dba FICO;Swiss-U.S. Privacy Shield Framework;2017-04-12;2017-12-07;HR, NON-HR
Fair Isaac Corporation, dba FICO;EU-U.S. Privacy Shield Framework;2016-12-07;2017-12-07;HR, NON-HR
FARIA SYSTEMS INC;EU-U.S. Privacy Shield Framework;2016-10-03;2017-10-03;NON-HR
FARO Techologies, Inc.;EU-U.S. Privacy Shield Framework;2016-12-02;2017-12-02;HR, NON-HR
Fastly, Inc.;EU-U.S. Privacy Shield Framework;2016-10-12;2017-10-12;NON-HR
FCA US LLC;EU-U.S. Privacy Shield Framework;2016-11-21;2017-11-21;HR, NON-HR
Federal-Mogul Corporation;EU-U.S. Privacy Shield Framework;2017-02-23;2018-02-23;HR, NON-HR
Fellowes, Inc.;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;HR, NON-HR
Fidelity Information Services (FIS);EU-U.S. Privacy Shield Framework;2017-02-22;2018-02-22;NON-HR
Fiducia Global Solutions LLC;EU-U.S. Privacy Shield Framework;2017-01-06;2018-01-06;NON-HR
Filestack, Inc.;EU-U.S. Privacy Shield Framework;2017-04-17;2018-05-17;HR, NON-HR
Finsight Group, Inc.;EU-U.S. Privacy Shield Framework;2016-08-12;2018-05-12;NON-HR
Finsight Group, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-12;2018-05-12;NON-HR
Fireeye, Inc.;EU-U.S. Privacy Shield Framework;2016-11-25;2017-11-25;HR, NON-HR
First Advantage Corporation;Swiss-U.S. Privacy Shield Framework;2017-04-18;2017-12-01;NON-HR
First Advantage Corporation;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;NON-HR
First Associates Loan Servicing, LLC;Swiss-U.S. Privacy Shield Framework;2017-04-18;2018-04-18;NON-HR
First Associates Loan Servicing, LLC;EU-U.S. Privacy Shield Framework;2016-09-21;2018-04-18;NON-HR
First Choice Background Screening;EU-U.S. Privacy Shield Framework;2017-01-26;2018-01-26;HR
First Orion, Inc.;EU-U.S. Privacy Shield Framework;2017-04-03;2018-04-03;HR, NON-HR
FirstKey Mortgage, LLC;Swiss-U.S. Privacy Shield Framework;2017-05-03;2017-10-19;HR, NON-HR
FirstKey Mortgage, LLC;EU-U.S. Privacy Shield Framework;2016-10-19;2017-10-19;HR, NON-HR
Fitbit, Inc.;EU-U.S. Privacy Shield Framework;2016-11-03;2017-11-03;HR, NON-HR
Fleetsmith;EU-U.S. Privacy Shield Framework;2017-04-25;2018-04-25;NON-HR
FleishmanHillard;EU-U.S. Privacy Shield Framework;2017-03-01;2018-03-01;HR, NON-HR
Flexera Software;EU-U.S. Privacy Shield Framework;2016-11-17;2017-11-17;NON-HR
Flight Centre Travel Group (USA) Inc - Corporate Brands;EU-U.S. Privacy Shield Framework;2017-01-26;2018-01-26;NON-HR
FlightStats, Inc.;EU-U.S. Privacy Shield Framework;2016-10-11;2018-04-12;NON-HR
Flow Commerce inc;EU-U.S. Privacy Shield Framework;2017-02-10;2018-02-10;NON-HR
FlyData, Inc;EU-U.S. Privacy Shield Framework;2017-03-22;2018-03-22;HR, NON-HR
FLYR INC.;EU-U.S. Privacy Shield Framework;2016-12-06;2017-12-06;NON-HR
FM:Systems, Inc.;EU-U.S. Privacy Shield Framework;2016-12-01;2017-12-01;HR, NON-HR
FMYI, Inc.;EU-U.S. Privacy Shield Framework;2017-05-04;2018-05-04;NON-HR
FMYI, Inc.;Swiss-U.S. Privacy Shield Framework;2017-05-04;2018-05-04;NON-HR
FOCUSVISION;Swiss-U.S. Privacy Shield Framework;2017-05-03;2018-05-03;NON-HR
FOCUSVISION;EU-U.S. Privacy Shield Framework;2016-11-18;2018-05-03;HR, NON-HR
FogLogic;Swiss-U.S. Privacy Shield Framework;2017-04-24;2018-04-24;NON-HR
FogLogic;EU-U.S. Privacy Shield Framework;2016-12-29;2018-04-24;NON-HR
